,Company,highratedfor,criticalratedfor,rating,reviews,salaries,interviews,jobs,companyCard,branches
2685,Aliens Group,"Skill Development, Salary, Company Culture",,3.9,411,1.3k,44,5,Real Estate | Hyderabad +6 other locations,NA
2686,Agro Tech Foods,"Company Culture, Work Life Balance, Job Security",Promotions,4.0,410,1.1k,22,8,FMCG | Hyderabad +77 other locations,NA
2687,HealthKart,Work Life Balance,Promotions,3.8,411,2k,30,34,Internet | Gurugram +39 other locations,NA
2688,Ashiana Housing,"Job Security, Skill Development, Company Culture",,4.0,410,1.5k,36,22,Real Estate | Jaipur +19 other locations,NA
2689,SMFG India Home Finance Co,Salary,"Promotions, Company Culture, Work Satisfaction",3.7,411,1k,27,--,NBFC | Mumbai +112 other locations,NA
2690,Win Medicare,"Work Life Balance, Company Culture, Work Satisfaction",,4.1,410,999,24,--,Pharma | New Delhi +63 other locations,NA
2691,Recpdcl.ltd,"Work Life Balance, Work Satisfaction","Job Security, Promotions",4.0,410,833,17,--,Facility Management Services | New Delhi +68 other locations,NA
2692,Bonace Engineers,"Work Life Balance, Salary, Company Culture","Promotions, Job Security",4.0,410,1.2k,36,--,Recruitment | Mumbai +58 other locations,NA
2693,P.D. Hinduja National Hospital and Medical Research Centre,"Work Life Balance, Job Security",Promotions,3.9,410,2.4k,28,15,Healthcare | Mumbai +13 other locations,NA
2694,Virchow Biotech,"Promotions, Job Security, Salary",,3.3,410,1.7k,26,--,Pharma | Hyderabad +12 other locations,NA
2695,Bajaj Auto Credit,"Skill Development, Company Culture, Work Life Balance",Promotions,3.9,409,929,13,--,NBFC | Pune +177 other locations,NA
2696,Black Knight,"Promotions, Company Culture, Work Life Balance",,3.5,409,2.6k,29,--,IT Services & Consulting | Hyderabad +4 other locations,NA
2697,Viva Composite Panel,"Company Culture, Work Life Balance, Work Satisfaction",,4.5,409,606,100,23,Building Material | Mumbai +60 other locations,NA
2698,CES,"Promotions, Job Security, Skill Development",,3.3,409,2.6k,58,14,IT Services & Consulting | Hyderabad +15 other locations,NA
2699,Gujarat Ambuja Exports,"Promotions, Salary, Company Culture",,3.4,409,1.5k,23,4,Agro Chemicals | Ahmedabad +32 other locations,NA
2700,Himatsingka Seide,"Promotions, Company Culture, Work Satisfaction",,3.5,408,1.5k,30,9,Fashion & Textile | Bengaluru +16 other locations,NA
2701,Accelya Solutions India Limited,"Promotions, Skill Development, Work Satisfaction",,3.4,408,2.7k,51,38,IT Services & Consulting | Mumbai +12 other locations,NA
2702,ITC Limited - Paperboards Specialty Papers Division,"Job Security, Skill Development, Company Culture",Promotions,3.9,408,1.6k,19,8,Packaging | Bhadrachalam +18 other locations,NA
2703,Indus Net Technologies,"Job Security, Promotions, Company Culture",,3.1,408,2k,35,--,IT Services & Consulting | Kolkata +7 other locations,NA
2704,CMA CGM Global Business Services,"Job Security, Work Life Balance",Promotions,4.0,408,2.1k,32,--,Ports & Shipping | Chennai +10 other locations,NA
2705,Schoolnet India,"Company Culture, Work Life Balance, Work Satisfaction","Promotions, Salary",3.9,408,1.1k,24,34,EdTech | Mumbai +91 other locations,NA
2706,Fortis Escorts Hospital,"Skill Development, Company Culture, Work Life Balance",,4.3,407,955,21,--,Healthcare | New Delhi +17 other locations,NA
2707,SHARE Microfin,"Company Culture, Work Life Balance, Work Satisfaction",,4.1,407,554,22,--,Financial Services | Hyderabad +140 other locations,NA
2708,Onsitego,"Job Security, Promotions, Company Culture",,3.7,407,1.4k,20,11,Internet | Mumbai +31 other locations,NA
2709,Indian Space Research Organisation,"Company Culture, Work Life Balance, Work Satisfaction",,4.6,407,1.3k,24,--,Defence & Aerospace | Bengaluru +36 other locations,NA
2710,Core Integra Consulting Services,"Promotions, Salary, Skill Development",,3.4,407,1.3k,25,--,Recruitment | Mumbai +85 other locations,NA
2711,Mahindra Last Mile Mobility,"Promotions, Company Culture, Work Satisfaction",,3.7,407,1.2k,22,--,Automobile | Bengaluru +31 other locations,NA
2712,V-Xpress,Work Life Balance,"Promotions, Skill Development",3.9,407,1.1k,22,--,Logistics | Mumbai +63 other locations,NA
2713,STUDDS Accessories Limited,"Salary, Company Culture, Work Satisfaction",,4.0,406,1.3k,58,2,Auto Components | Faridabad +14 other locations,NA
2714,Invensis Technologies,"Promotions, Salary, Company Culture",,3.5,406,1.9k,33,6,BPO | Bengaluru +13 other locations,NA
2715,Motherhood Hospital,"Promotions, Salary, Company Culture",,3.7,406,1.7k,22,271,Healthcare | Bengaluru +26 other locations,NA
2716,Indiafilings,"Skill Development, Salary, Company Culture",,3.9,406,1.1k,155,--,Internet | Chennai +11 other locations,NA
2717,Acadecraft,,,3.7,406,881,62,5,EdTech | Noida +9 other locations,NA
2718,Al Turki Enterprises,"Promotions, Salary, Company Culture",,3.5,405,957,16,--,Oil & Gas | Muscat +15 other locations,NA
2719,L&T Heavy Engineering,"Job Security, Skill Development","Promotions, Work Life Balance, Company Culture",3.8,405,826,31,--,Surat +27 other locations,NA
2720,Ipsos,"Work Life Balance, Work Satisfaction, Promotions",,3.1,405,2.5k,42,10,Analytics & KPO | Mumbai +26 other locations,NA
2721,RDC Concrete (India),"Skill Development, Company Culture, Job Security",,4.0,405,1.3k,39,3,Real Estate | Mumbai +51 other locations,NA
2722,V-Xpress,"Work Life Balance, Salary",Promotions,3.9,407,1.1k,22,--,Logistics | Mumbai +63 other locations,NA
2723,Indigo Paints,Salary,"Skill Development, Work Satisfaction, Job Security",3.8,405,1.5k,31,--,Chemicals | Jodhpur +102 other locations,NA
2724,L&T Heavy Engineering,"Job Security, Skill Development","Promotions, Work Life Balance, Company Culture",3.8,405,826,31,--,Surat +27 other locations,NA
2725,HYT Engineering Company Pvt Ltd,"Job Security, Promotions, Company Culture",,3.2,405,1.4k,37,16,Industrial Machinery | Pune +27 other locations,NA
2726,Daimler Truck,"Work Life Balance, Job Security","Promotions, Work Satisfaction, Skill Development",3.6,405,2.9k,41,1,Automobile | Bengaluru +8 other locations,NA
2727,ICFAI University,"Promotions, Skill Development, Work Satisfaction",,3.6,404,864,23,--,Education & Training | Hyderabad +59 other locations,NA
2728,Oda Class,"Work Life Balance, Job Security, Promotions",,2.9,404,671,29,--,EdTech | Bengaluru +8 other locations,NA
2729,Gtpl Hathway,"Work Life Balance, Job Security",Promotions,3.9,404,1.9k,28,9,Broadcasting | Ahmedabad +51 other locations,NA
2730,Eversendai,"Promotions, Company Culture, Work Life Balance",,3.6,404,1.6k,32,--,Engineering & Construction | Chennai +19 other locations,NA
2731,Venkateshwara Hatcheries,"Job Security, Work Life Balance","Promotions, Salary",3.8,404,1.5k,12,--,Food Processing | Pune +60 other locations,NA
2732,BPTP,"Work Life Balance, Company Culture, Work Satisfaction",,4.2,404,1.4k,28,28,Real Estate | New Delhi +6 other locations,NA
2733,GRT Jewellers,"Job Security, Salary, Company Culture",,4.0,404,1.5k,30,9,Jewellery | Chennai +37 other locations,NA
2734,Hexagon Nutrition,"Company Culture, Work Life Balance, Work Satisfaction",,4.1,404,1k,19,8,Food Processing | Mumbai +32 other locations,NA
2735,Enphase Energy,"Company Culture, Work Life Balance, Work Satisfaction",,2.6,403,3k,57,29,Power | Bengaluru +11 other locations,NA
2736,V-bazaar Retail,Work Life Balance,Promotions,4.0,403,922,35,--,Retail | Gurugram +76 other locations,NA
2737,Raptakos Brett and Company,"Promotions, Skill Development, Company Culture",,3.4,403,1.5k,23,2,Pharma | Mumbai +64 other locations,NA
2738,Piramal Swasthya,"Work Life Balance, Company Culture, Work Satisfaction","Promotions, Job Security",4.1,403,986,21,10,Hyderabad +62 other locations,NA
2739,M Baazar,"Work Life Balance, Job Security","Salary, Promotions",3.9,403,888,33,14,Retail | Kolkata +95 other locations,NA
2740,PowerSchool India,"Job Security, Promotions, Work Satisfaction",,3.3,403,2.9k,47,10,Software Product | Bengaluru +8 other locations,NA
2741,Roop Automotives,"Company Culture, Work Satisfaction, Job Security",,4.2,403,1.3k,30,--,Auto Components | Gurugram +14 other locations,NA
2742,NCSI Technologies Pvt Ltd,"Promotions, Work Satisfaction, Job Security",,3.7,403,1.8k,64,7,IT Services & Consulting | Pune +5 other locations,NA
2743,Kailash Hospital,"Work Life Balance, Work Satisfaction, Job Security",Promotions,3.9,403,1k,22,52,Healthcare | Noida +28 other locations,NA
2744,Penna Cement Industries,"Job Security, Work Life Balance, Work Satisfaction","Promotions, Salary",4.1,402,1.5k,13,--,Building Material | Hyderabad +47 other locations,NA
2745,Uplers,"Promotions, Job Security, Work Satisfaction",,3.6,402,1.7k,45,6,Internet | Ahmedabad +13 other locations,NA
2746,RCM,"Company Culture, Work Life Balance, Work Satisfaction",,4.2,402,678,55,5,Retail | Bhilwara +45 other locations,NA
2747,Indian Overseas Bank,Job Security,"Company Culture, Work Life Balance, Work Satisfaction",3.3,402,997,17,--,Banking | Chennai +84 other locations,NA
2748,Bses Yamuna Power,"Work Life Balance, Job Security","Promotions, Salary, Skill Development",3.8,402,1.4k,25,--,Power | New Delhi +6 other locations,NA
2749,American Axle & Manufacturing,"Company Culture, Work Life Balance, Job Security",Promotions,4.3,401,1.5k,26,--,Auto Components | Pune +11 other locations,NA
2750,Munjal Showa,"Promotions, Skill Development, Company Culture",,3.2,401,1.2k,19,7,Auto Components | Gurugram +13 other locations,NA
2751,MAYORA,Salary,"Work Satisfaction, Job Security, Promotions",3.9,401,958,24,1,FMCG | Hyderabad +86 other locations,NA
2752,Larsen & Toubro Group,"Job Security, Skill Development, Work Satisfaction",,4.1,401,1k,96,--,Engineering & Construction | Chennai +75 other locations,NA
2753,Merck,"Work Life Balance, Company Culture, Job Security",Promotions,4.0,401,2.7k,20,1,Pharma | Bengaluru +53 other locations,NA
2754,Pearson Education India,"Work Life Balance, Company Culture, Salary",Promotions,3.9,401,1.7k,9,60,Education & Training | Bengaluru +57 other locations,NA
2755,Stanley Black & Decker,Work Life Balance,"Promotions, Job Security, Work Satisfaction",3.6,401,1.9k,28,21,Industrial Machinery | Pune +28 other locations,NA
2756,Manhattan Associates,Job Security,"Work Satisfaction, Promotions, Skill Development",3.4,400,3.6k,43,3,IT Services & Consulting | Bengaluru +5 other locations,NA
2757,Kanpur Fertilizers & Chemicals,"Promotions, Job Security, Salary",,3.6,401,1.2k,35,--,Agro Chemicals | Kanpur +34 other locations,NA
2758,ABC Consultants,"Work Life Balance, Job Security, Company Culture",,3.9,401,27.3k,241,1,Recruitment | Bengaluru +27 other locations,NA
2759,Greet Technologies,"Promotions, Salary, Company Culture",,2.6,401,1.2k,40,2,BPO | Bengaluru +7 other locations,NA
2760,Sunstone,"Promotions, Job Security",,3.7,400,1.7k,26,43,Education & Training | Gurugram +25 other locations,NA
2761,Starbucks,"Job Security, Company Culture, Skill Development",Promotions,4.1,400,1.1k,38,--,Hospitality | Mumbai +59 other locations,NA
2762,Workcell Solutions,"Promotions, Job Security, Work Satisfaction",,3.6,400,1.3k,28,1,Pharma | Mumbai +17 other locations,NA
2763,Etech Global Services,Job Security,"Promotions, Work Satisfaction, Skill Development",3.6,400,1.8k,44,26,BPO | Gandhinagar +11 other locations,NA
2764,PGP Glass,"Job Security, Work Life Balance, Salary",Promotions,4.0,400,1.3k,35,9,Packaging | Vadodara +15 other locations,NA
2765,Welspun Flooring,Skill Development,Promotions,3.8,400,1.2k,22,--,Building Material | Hyderabad +26 other locations,NA
2766,Copeland,"Work Life Balance, Company Culture, Job Security","Promotions, Skill Development",3.9,400,2.4k,25,21,Electronics Manufacturing | Pune +25 other locations,NA
2767,Bank of Maharashtra,Job Security,"Work Life Balance, Work Satisfaction, Company Culture",3.2,399,1.5k,18,--,Banking | Pune +77 other locations,NA
2768,Flyjac Logistics,"Job Security, Company Culture, Work Life Balance",,4.1,399,1.4k,8,2,Logistics | Chennai +55 other locations,NA
2769,SKH Y-TEC,"Job Security, Skill Development, Work Life Balance",Promotions,3.9,399,1.3k,32,--,Auto Components | Ahmedabad +22 other locations,NA
2770,Mintifi,Salary,"Promotions, Work Satisfaction, Job Security",3.5,399,1.2k,23,--,Financial Services | Mumbai +99 other locations,NA
2771,ClearTax,"Job Security, Promotions, Work Satisfaction",,3.0,399,2.2k,50,32,IT Services & Consulting | Bengaluru +10 other locations,NA
2772,GE Vernova T&D India,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,4.2,399,1.6k,9,--,Power | Chennai +38 other locations,NA
2773,Unilever Global,"Promotions, Work Satisfaction",,3.6,399,712,32,--,FMCG | Bengaluru +66 other locations,NA
2774,Azentio,"Promotions, Job Security, Skill Development",,3.2,399,3.7k,47,--,Software Product | Chennai +16 other locations,NA
2775,VRB Consumer Products Private Limited,"Salary, Work Life Balance, Company Culture",,4.1,399,1.3k,23,9,FMCG | New Delhi +52 other locations,NA
