,Company,highratedfor,criticalratedfor,rating,reviews,salaries,interviews,jobs,companyCard,branches
1686,3M,"Company Culture, Work Life Balance, Salary","Promotions, Job Security",4.0,642,3.3k,41,94,Electronics Manufacturing | Bengaluru +54 other locations,NA
1687,Ramboll,"Company Culture, Work Life Balance, Job Security",Promotions,3.9,642,3.2k,47,107,Engineering & Construction | Gurugram +32 other locations,NA
1688,Sandvik Asia,"Work Life Balance, Job Security, Salary",Promotions,4.0,641,1.6k,33,--,Industrial Machinery | Pune +37 other locations,NA
1689,Alshaya Group,"Promotions, Company Culture, Work Satisfaction",,3.7,642,2.3k,50,--,Retail | Bengaluru +29 other locations,NA
1690,MAQ Software,"Company Culture, Work Life Balance, Work Satisfaction",,3.2,641,4k,175,3,IT Services & Consulting | Noida +9 other locations,NA
1691,National Stock Exchange of India,Job Security,"Promotions, Work Satisfaction, Skill Development",3.6,642,4.5k,55,--,Financial Services | Mumbai +34 other locations,NA
1692,Vikram Solar,"Promotions, Company Culture, Work Satisfaction",,3.6,641,2.3k,41,6,Power | Kolkata +42 other locations,NA
1693,RealPage,"Promotions, Job Security, Work Satisfaction",,3.6,640,4.2k,78,8,Software Product | Hyderabad +8 other locations,NA
1694,FCC Clutch,"Work Life Balance, Job Security",Promotions,3.9,639,2.3k,45,--,Auto Components | Gurugram +26 other locations,NA
1695,Philips Innovation Campus,Work Life Balance,"Promotions, Job Security, Skill Development",3.7,638,4.6k,57,--,Software Product | Bengaluru +20 other locations,NA
1696,Sigma Engineered Solutions,"Company Culture, Skill Development, Work Life Balance","Promotions, Salary",3.9,638,2.5k,30,--,Industrial Machinery | Pune +16 other locations,NA
1697,Shriram Automall,"Company Culture, Work Life Balance, Job Security",,4.1,638,1.3k,52,1,Internet | New Delhi +109 other locations,NA
1698,Wissen Technology,Promotions,,3.7,637,5.3k,204,130,IT Services & Consulting | Bengaluru +9 other locations,NA
1699,Welspun Corp,Skill Development,Promotions,3.9,637,2.1k,35,14,Iron & Steel | Anjar +31 other locations,NA
1700,Gainwell Commosales,"Job Security, Company Culture, Skill Development",Promotions,4.0,637,2.3k,46,5,Industrial Machinery | Kolkata +82 other locations,NA
1701,Mount Litera Zee School,"Promotions, Salary, Job Security",,3.7,636,1.5k,41,16,Education & Training | Bengaluru +126 other locations,NA
1702,ExportersIndia,"Company Culture, Work Life Balance, Work Satisfaction",,4.9,636,130,32,--,Internet | New Delhi +2 other locations,NA
1703,GKN,Work Life Balance,Promotions,3.9,635,2.3k,38,41,Defence & Aerospace | Pune +30 other locations,NA
1704,Global Healthcare Billing Partners,"Company Culture, Promotions, Work Satisfaction",,3.3,634,3.7k,47,427,BPO | Chennai +15 other locations,NA
1705,TVS Eurogrip,"Promotions, Company Culture, Job Security",,3.7,635,2.1k,33,14,Auto Components | Madurai +83 other locations,NA
1706,Ebixcash Global Services,"Promotions, Salary, Job Security",,3.2,634,2.1k,58,--,BPO | Mumbai +41 other locations,NA
1707,Ferrero,"Salary, Skill Development, Job Security",Promotions,3.9,634,2.1k,31,7,Food Processing | Pune +104 other locations,NA
1708,The Lalit,"Promotions, Salary, Company Culture",,3.5,635,1.6k,26,13,Hospitality | New Delhi +32 other locations,NA
1709,UKB Electronics Limited,"Company Culture, Job Security, Work Life Balance",,3.6,634,2.3k,54,29,Electronics Manufacturing | Noida +24 other locations,NA
1710,Kaizen IT Services,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,3.9,633,1.3k,38,--,IT Services & Consulting | Kolkata +93 other locations,NA
1711,NRB Bearings,"Work Life Balance, Job Security, Company Culture",Promotions,4.1,633,2.1k,53,48,Auto Components | Chhatrapati Sambhajinagar +21 other locations,NA
1712,Danfoss Industries,"Work Life Balance, Company Culture",Promotions,3.8,633,3.4k,44,9,Industrial Machinery | Chennai +21 other locations,NA
1713,Me n Moms,"Skill Development, Work Life Balance, Work Satisfaction",,4.2,633,1.1k,149,5,Retail | Mumbai +66 other locations,NA
1714,Geojit Financial Services,"Promotions, Work Satisfaction, Salary",,3.4,634,2.2k,54,6,Financial Services | Kochi +142 other locations,NA
1715,Chaitanya India Fin Credit,"Company Culture, Skill Development, Work Life Balance",,4.1,633,1.5k,37,--,NBFC | Bengaluru +176 other locations,NA
1716,Finova Capital,Salary,,3.8,632,1.5k,29,1,NBFC | Jaipur +185 other locations,NA
1717,B.L. Kashyap & Sons,"Job Security, Work Life Balance","Promotions, Salary",3.7,632,1.7k,68,18,Engineering & Construction | Bengaluru +25 other locations,NA
1718,Varthana,"Work Life Balance, Company Culture, Salary",,4.0,632,1.4k,46,4,NBFC | Bengaluru +80 other locations,NA
1719,NoBrokerHood,"Job Security, Work Satisfaction, Company Culture",,2.8,632,2.1k,67,2,Software Product | Bengaluru +33 other locations,NA
1720,Airports Authority of India,"Work Life Balance, Company Culture, Work Satisfaction",,4.3,631,1.8k,54,--,Aviation | New Delhi +91 other locations,NA
1721,Belstar Microfinance,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,4.0,631,1.5k,41,--,NBFC | Chennai +224 other locations,NA
1722,Continental,Work Life Balance,"Promotions, Job Security, Work Satisfaction",3.6,631,3.6k,58,89,Auto Components | Bengaluru +50 other locations,NA
1723,Khazana Jewellery,"Company Culture, Skill Development, Salary",Promotions,3.9,631,1.7k,65,26,Jewellery | Chennai +50 other locations,NA
1724,ACKO,"Promotions, Work Satisfaction, Job Security",,3.4,630,3.1k,64,6,Insurance | Bengaluru +14 other locations,NA
1725,Electrotherm,"Job Security, Work Life Balance, Company Culture",,4.1,632,2.8k,40,9,Iron & Steel | Ahmedabad +41 other locations,NA
1726,Suroj Buildcon,"Company Culture, Job Security, Skill Development",,4.1,631,1.6k,37,3,Engineering & Construction | Pune +50 other locations,NA
1727,Monte Carlo,"Salary, Work Life Balance, Company Culture",,4.2,631,2.5k,36,5,Fashion & Textile | Ahmedabad +104 other locations,NA
1728,Avalon Technologies,"Job Security, Skill Development","Promotions, Salary, Company Culture",3.8,629,3.4k,43,12,Electronics Manufacturing | Chennai +17 other locations,NA
1729,Suraksha Diagnostic,Skill Development,"Promotions, Salary",3.7,628,1.6k,50,25,Healthcare | Kolkata +35 other locations,NA
1730,Turbo Energy,"Work Satisfaction, Skill Development, Company Culture",Promotions,4.1,628,2k,25,--,Auto Components | Chennai +25 other locations,NA
1731,Data Entry,"Company Culture, Work Satisfaction, Skill Development",,4.2,628,1.9k,132,--,BPO | New Delhi +109 other locations,NA
1732,Reliance Jewels,"Job Security, Skill Development, Company Culture",Promotions,3.9,628,1.3k,37,--,Jewellery | Mumbai +131 other locations,NA
1733,InsuranceDekho,"Promotions, Job Security, Work Life Balance",,3.5,629,2.2k,81,32,Internet | Gurugram +86 other locations,NA
1734,Kiya.ai,"Work Life Balance, Skill Development, Salary",,3.9,627,4.3k,51,124,IT Services & Consulting | Mumbai +18 other locations,NA
1735,Sl Lumax,"Work Life Balance, Promotions, Company Culture",,3.4,627,2.4k,31,3,Auto Components | Chennai +19 other locations,NA
1736,Sir H. N. Reliance Foundation Hospital and Research,"Job Security, Skill Development, Salary",,4.2,627,1.2k,169,37,Healthcare | Mumbai +10 other locations,NA
1737,NetConnectGlobal,"Promotions, Job Security, Skill Development",,3.1,626,2.7k,33,151,IT Services & Consulting | Bengaluru +44 other locations,NA
1738,Manjushree Technopack,"Promotions, Company Culture, Work Satisfaction",,3.6,626,2.8k,48,13,Bengaluru +35 other locations,NA
1739,South Indian Bank,"Salary, Job Security","Work Satisfaction, Work Life Balance, Company Culture",3.3,625,3.1k,49,--,Banking | Bengaluru +85 other locations,NA
1740,SOLAR INDUSTRIES INDIA,Job Security,"Promotions, Company Culture, Work Satisfaction",3.6,624,3k,74,11,Defence & Aerospace | Nagpur +39 other locations,NA
1741,Varun Motors,"Job Security, Skill Development","Promotions, Salary",3.8,624,2.2k,24,1,Automobile | Hyderabad +42 other locations,NA
1742,IDBI Intech Limited,"Promotions, Salary, Company Culture",,3.2,624,3.1k,55,--,IT Services & Consulting | Mumbai +28 other locations,NA
1743,Annalect,Work Life Balance,"Promotions, Job Security, Skill Development",3.4,624,4.3k,83,--,Marketing & Advertising | Bengaluru +15 other locations,NA
1744,Tecnimont,"Job Security, Salary",Promotions,3.9,624,2.8k,43,77,Engineering & Construction | Mumbai +29 other locations,NA
1745,Crowne Plaza,"Job Security, Company Culture, Work Life Balance",,4.1,623,1.3k,23,--,Hospitality | New Delhi +36 other locations,NA
1746,Sapphire Foods India,Skill Development,,3.8,623,2k,37,30,Hospitality | Mumbai +66 other locations,NA
1747,Serum Institute of India,"Job Security, Salary, Work Life Balance",Promotions,4.1,622,3.3k,42,4,Biotechnology | Pune +26 other locations,NA
1748,Suma Soft,"Promotions, Salary, Work Satisfaction",,3.5,622,3.2k,52,19,IT Services & Consulting | Pune +11 other locations,NA
1749,Motilal Oswal Wealth Management,"Skill Development, Company Culture, Work Life Balance",,4.4,621,403,42,26,Financial Services | Mumbai +26 other locations,NA
1750,Maharashtra Seamless,Job Security,"Promotions, Company Culture, Salary",3.5,621,2.2k,63,2,Building Material | Mumbai +25 other locations,NA
1751,Karvy Stock Broking,"Promotions, Work Life Balance, Company Culture",,3.6,620,1.5k,9,--,Hyderabad +106 other locations,NA
1752,Sasken,"Promotions, Job Security, Work Satisfaction",,3.6,621,4.3k,93,39,IT Services & Consulting | Bengaluru +12 other locations,NA
1753,IRB Infrastructure,"Work Life Balance, Salary",Promotions,3.9,621,1.4k,29,27,Engineering & Construction | Mumbai +72 other locations,NA
1754,Medcode,Skill Development,,3.8,619,439,13,17,IT Services & Consulting | Hyderabad +10 other locations,NA
1755,Trigent Software,"Job Security, Promotions, Skill Development",,3.3,619,3.9k,80,--,IT Services & Consulting | Bengaluru +29 other locations,NA
1756,Pyramid IT Consulting,"Job Security, Promotions, Work Satisfaction",,3.1,618,2.8k,28,1,Recruitment | Noida +25 other locations,NA
1757,Emids Technologies Limited,"Job Security, Promotions, Work Satisfaction",,3.6,619,5.1k,49,16,IT Services & Consulting | Bengaluru +9 other locations,NA
1758,Blackrock,"Promotions, Work Satisfaction, Skill Development",,3.5,619,7.3k,120,1,Financial Services | Gurugram +18 other locations,NA
1759,Vedanta Limited,Salary,"Company Culture, Work Life Balance, Work Satisfaction",3.7,617,2.6k,57,5,Metals & Mining | Lanjigarh +54 other locations,NA
1760,Nucleus Software Exports,Job Security,"Promotions, Work Satisfaction, Work Life Balance",3.4,617,4.3k,47,27,Software Product | Noida +12 other locations,NA
1761,Hamilton Housewares,Promotions,,3.8,617,2.7k,41,5,Consumer Electronics & Appliances | Mumbai +54 other locations,NA
1762,Okaya Power,Promotions,,3.8,616,2.2k,42,16,Electrical Equipment | New Delhi +87 other locations,NA
1763,CSM Technologies,"Work Life Balance, Job Security",,4.0,618,2.1k,35,17,IT Services & Consulting | Bhubaneswar +22 other locations,NA
1764,Aster Dm Healthcare,"Promotions, Salary, Company Culture",,3.7,617,3k,58,208,Healthcare | Bengaluru +39 other locations,NA
1765,Super Smelters,Skill Development,"Promotions, Salary",3.7,615,2.1k,42,3,Iron & Steel | Asansol +24 other locations,NA
1766,Central Reserve Police Force,"Job Security, Salary, Company Culture",,4.6,615,1.3k,9,--,Government | New Delhi +95 other locations,NA
1767,Royaloak Incorporation,"Company Culture, Job Security, Promotions",,3.6,615,1.6k,41,11,Furniture & Furnishing | Bengaluru +47 other locations,NA
1768,Action Tesa,"Job Security, Skill Development",Promotions,3.9,615,1.4k,111,5,Building Material | Sitarganj +62 other locations,NA
1769,Myk Laticrete,"Salary, Skill Development",Promotions,3.9,615,2.2k,26,4,Building Material | Hyderabad +88 other locations,NA
1770,HDFC Asset Management Company,"Job Security, Work Life Balance, Skill Development",Promotions,4.1,614,2.5k,46,--,Financial Services | Mumbai +140 other locations,NA
1771,Renovision Automation Services,"Promotions, Salary, Company Culture",,3.3,614,1.9k,26,22,IT Services & Consulting | New Delhi +71 other locations,NA
1772,Kajaria Ceramics,"Work Life Balance, Salary","Promotions, Skill Development",3.9,614,2.1k,32,--,Building Material | New Delhi +84 other locations,NA
1773,Schwing Stetter,Job Security,Promotions,3.9,615,2.6k,46,89,Industrial Machinery | Chennai +44 other locations,NA
1774,Shivam Autotech,Skill Development,"Promotions, Salary",3.6,613,2.3k,37,4,Auto Components | Gurugram +21 other locations,NA
1775,Finastra,Work Life Balance,"Promotions, Work Satisfaction, Job Security",3.7,613,4.6k,61,35,Software Product | Bengaluru +13 other locations,NA
1776,Einfochips,"Promotions, Salary, Work Satisfaction",,3.5,613,3.8k,77,156,IT Services & Consulting | Ahmedabad +13 other locations,NA
1777,Sapiens,"Promotions, Skill Development, Work Satisfaction",,3.1,613,5.5k,67,3,Software Product | Bengaluru +8 other locations,NA
1778,EaseMyTrip.com,"Work Life Balance, Company Culture, Work Satisfaction",,4.1,613,1.4k,70,67,Internet | New Delhi +10 other locations,NA
1779,Hitachi Systems Micro Clinic,"Work Life Balance, Job Security, Company Culture",Promotions,4.0,612,2.7k,32,--,IT Services & Consulting | Mumbai +78 other locations,NA
1780,Sintex Industries,"Job Security, Company Culture, Work Life Balance",Promotions,3.9,612,2k,25,13,Industrial Machinery | Ahmedabad +58 other locations,NA
1781,Dr. Batras' Positive Health Clinic,"Promotions, Salary",,3.8,612,1.1k,23,16,Healthcare | Mumbai +88 other locations,NA
1782,Becton Dickinson,"Company Culture, Work Life Balance, Job Security",Promotions,4.0,612,3.5k,37,77,Medical Equipment | Bengaluru +38 other locations,NA
1783,Vyapar,"Job Security, Promotions, Work Life Balance",,3.7,613,2.3k,79,134,Software Product | Bengaluru +40 other locations,NA
1784,Cashify,Work Life Balance,Promotions,3.8,611,2.7k,51,7,Internet | Gurugram +58 other locations,NA
1785,ThoughtWorks,"Work Life Balance, Company Culture, Skill Development",Promotions,3.9,611,7k,176,11,IT Services & Consulting | Bengaluru +11 other locations,NA
1786,Fiem Industries,Salary,"Job Security, Company Culture, Work Life Balance",3.7,611,2.7k,29,11,Auto Components | Hosur +29 other locations,NA
1787,Avaada Group,"Work Life Balance, Job Security, Salary",,4.3,611,2.2k,63,42,Power | Noida +69 other locations,NA
1788,Agrostar,"Company Culture, Skill Development, Salary",Job Security,4.0,610,1.5k,63,12,Internet | Pune +52 other locations,NA
1789,Mavenir Systems,"Promotions, Job Security, Company Culture",,3.3,610,3.6k,63,6,IT Services & Consulting | Bengaluru +19 other locations,NA
1790,Kirloskar Ferrous Industries,Job Security,"Promotions, Salary, Work Satisfaction",3.7,610,2.2k,33,2,Iron & Steel | Koppal +22 other locations,NA
1791,Family Health Plan,"Promotions, Salary, Skill Development",,3.7,610,2k,45,7,Insurance | Hyderabad +36 other locations,NA
1792,Gestamp,"Promotions, Company Culture, Work Satisfaction",,3.6,609,2.1k,23,--,Auto Components | Pune +14 other locations,NA
1793,Sudarshan Chemical Industries,Skill Development,Promotions,3.9,608,2.7k,35,16,Chemicals | Roha +25 other locations,NA
1794,Nspira Management Services,"Promotions, Work Satisfaction, Skill Development",,3.7,608,2.5k,38,22,Management Consulting | Hyderabad +59 other locations,NA
1795,Godrej Industries,"Job Security, Work Life Balance, Company Culture",Promotions,4.0,608,2.9k,60,112,Real Estate | Mumbai +68 other locations,NA
1796,AML RightSource,"Job Security, Company Culture, Work Satisfaction",,2.6,611,3.5k,61,35,IT Services & Consulting | New Delhi +9 other locations,NA
1797,Infinity Learn,"Salary, Company Culture, Work Life Balance",,4.2,608,2.1k,102,71,EdTech | Hyderabad +18 other locations,NA
1798,BMC Software,"Company Culture, Work Life Balance, Salary","Promotions, Job Security",4.0,607,3.9k,52,43,Software Product | Pune +10 other locations,NA
1799,Ongc Petro Additions,"Job Security, Work Life Balance, Company Culture",,4.0,608,3.3k,35,--,Petrochemicals | Bharuch +29 other locations,NA
1800,BT E Serv,"Work Life Balance, Company Culture, Job Security",Promotions,3.9,607,2.7k,54,--,BPO | Kolkata +6 other locations,NA
1801,Finolex Industries,Work Life Balance,"Promotions, Skill Development, Work Satisfaction",3.7,608,2.4k,48,--,Building Material | Pune +71 other locations,NA
1802,ITC Limited Foods Division,Job Security,"Promotions, Salary",3.9,606,2k,76,--,Food Processing | Bengaluru +74 other locations,NA
1803,Netmeds.com,"Work Life Balance, Salary","Promotions, Job Security",3.9,606,2.3k,49,--,Pharma | Chennai +125 other locations,NA
1804,Holiday Inn,"Job Security, Skill Development",,4.0,606,1.4k,18,2,Hospitality | New Delhi +61 other locations,NA
1805,Mrs Bector's Food Specialities,"Promotions, Company Culture",,3.8,606,1.9k,31,14,Food Processing | Greater Noida +88 other locations,NA
1806,Cyfuture,"Promotions, Salary, Company Culture",,3.0,606,2.7k,108,20,IT Services & Consulting | Noida +37 other locations,NA
1807,CSG International,"Promotions, Skill Development, Job Security",,3.4,605,4.3k,60,18,IT Services & Consulting | Bengaluru +13 other locations,NA
1808,Royal Caribbean International,"Salary, Company Culture, Skill Development",,4.2,605,715,32,1,Sports & Recreation | Mumbai +26 other locations,NA
1809,Hpl Electric & Power,Work Life Balance,"Promotions, Skill Development, Salary",3.7,605,2.2k,69,8,Electrical Equipment | Gurugram +70 other locations,NA
1810,Jain Irrigation Systems,"Promotions, Salary, Work Satisfaction",,3.6,604,1.9k,32,--,Agriculture | Jalgaon +89 other locations,NA
1811,MothersonSumi INfotech & Designs,Job Security,"Promotions, Skill Development, Salary",3.4,604,3.6k,37,13,IT Services & Consulting | Noida +18 other locations,NA
1812,Varindera Constructions,"Salary, Company Culture, Work Satisfaction",,4.4,604,1.4k,51,11,Engineering & Construction | New Delhi +27 other locations,NA
1813,Rocket India,"Job Security, Company Culture, Work Life Balance","Promotions, Salary",4.0,604,3.6k,114,31,Financial Services | Chennai +11 other locations,NA
1814,Grab A Grub Services,Work Life Balance,"Promotions, Job Security",3.9,604,1.9k,36,--,Logistics | Mumbai +115 other locations,NA
1815,HashedIn by Deloitte,"Job Security, Company Culture, Skill Development",Promotions,3.8,602,5.8k,146,3,IT Services & Consulting | Bengaluru +16 other locations,NA
1816,Jayaswal Neco Industries,"Job Security, Work Life Balance, Skill Development",,4.1,602,2.1k,37,12,Iron & Steel | Raipur +31 other locations,NA
1817,Carnival Cruise Lines,"Company Culture, Job Security, Work Life Balance",,4.2,602,682,23,--,Sports & Recreation | Mumbai +31 other locations,NA
1818,Sterling Oil Exploration & Energy Production,"Promotions, Work Life Balance, Job Security",,3.5,603,1.3k,70,--,Oil & Gas | Lagos +23 other locations,NA
1819,Dhani Services,"Job Security, Promotions, Company Culture",,3.7,601,1.2k,22,--,Mumbai +80 other locations,NA
1820,Bharat Biotech International,"Promotions, Company Culture, Work Satisfaction",,3.1,601,2.3k,64,9,Biotechnology | Hyderabad +29 other locations,NA
1821,DHL Global Forwarding,"Company Culture, Work Life Balance, Job Security",Promotions,3.9,601,3.1k,39,--,Logistics | Chennai +21 other locations,NA
1822,Toyoda Gosei Minda,"Job Security, Company Culture, Work Life Balance",,4.2,601,1.8k,33,--,Auto Components | Neemrana +24 other locations,NA
1823,Polaris Consulting,"Work Life Balance, Job Security, Skill Development",,4.2,601,2.7k,33,1,IT Services & Consulting | Hyderabad +18 other locations,NA
1824,Blackberrys,"Job Security, Promotions",,3.7,601,1.8k,33,6,Fashion & Textile | Gurugram +93 other locations,NA
1825,Anmol Industries,Work Life Balance,Promotions,3.9,601,1.8k,65,--,FMCG | Kolkata +88 other locations,NA
1826,VDA Infosolutions,"Work Life Balance, Job Security",Promotions,3.8,600,1.9k,55,2,IT Services & Consulting | Pune +34 other locations,NA
1827,IKEA,"Work Life Balance, Company Culture, Salary",Promotions,4.0,601,2.2k,50,--,Retail | Bengaluru +24 other locations,NA
1828,Heidelberg Cement,"Work Life Balance, Job Security, Company Culture",Promotions,4.0,600,1.9k,36,1,Building Material | Damoh +79 other locations,NA
1829,Jubilant Agri and Consumer Products,"Salary, Work Life Balance, Job Security",Promotions,3.9,599,1.9k,38,--,Chemicals | Gurugram +114 other locations,NA
1830,Eli Lilly and Company,"Promotions, Work Satisfaction, Company Culture",,3.3,597,4.8k,82,6,Pharma | Bengaluru +19 other locations,NA
1831,APL Apollo Tubes,"Work Life Balance, Work Satisfaction, Job Security",,4.1,597,2k,54,8,Iron & Steel | Raipur +48 other locations,NA
1832,Ofbusiness,"Job Security, Work Life Balance, Company Culture",,3.0,598,2.6k,51,76,Internet | Gurugram +42 other locations,NA
1833,Vedang Cellular Services,Salary,"Job Security, Promotions",3.8,596,1.7k,30,12,Telecom | Mumbai +69 other locations,NA
1834,Lulu International Shopping Mall,"Promotions, Salary",,3.7,595,2.5k,43,2,Retail | Bengaluru +42 other locations,NA
1835,Consulting Engineers Group,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,4.0,594,1.7k,48,--,Engineering & Construction | Jaipur +71 other locations,NA
1836,United Colors of Benetton,"Company Culture, Work Life Balance, Skill Development",,4.4,594,1.4k,24,4,Fashion & Textile | Gurugram +74 other locations,NA
1837,Ugam Solution,Job Security,"Promotions, Salary, Work Satisfaction",3.6,594,3.5k,51,--,IT Services & Consulting | Mumbai +14 other locations,NA
1838,Columbia Asia,"Company Culture, Skill Development, Work Life Balance",,4.6,594,1.4k,19,--,Healthcare | Bengaluru +18 other locations,NA
1839,EdgeVerve Systems,Job Security,"Promotions, Salary, Work Satisfaction",3.2,594,4.2k,68,25,Software Product | Bengaluru +15 other locations,NA
1840,Medley Pharmaceuticals,Work Life Balance,"Promotions, Skill Development, Salary",3.9,593,1.8k,38,20,Pharma | Mumbai +76 other locations,NA
1841,SIS Prosegur Holdings,"Promotions, Salary, Work Satisfaction",,3.4,593,1.5k,20,6,Law Enforcement & Security | New Delhi +94 other locations,NA
1842,Maxicus,"Company Culture, Work Life Balance, Job Security",,4.0,593,716,135,--,BPO | Vadodara +15 other locations,NA
1843,DealShare,"Job Security, Company Culture, Promotions",,3.5,593,2.6k,42,--,Internet | Bengaluru +43 other locations,NA
1844,The Saraswat Co-operative Bank,"Promotions, Salary, Work Satisfaction",,3.2,592,3k,28,5,Banking | Mumbai +35 other locations,NA
1845,Bridge & Roof Co,"Promotions, Company Culture, Work Life Balance",,3.4,592,2.5k,27,--,Engineering & Construction | Kolkata +64 other locations,NA
1846,Sanghi Industries,"Skill Development, Work Life Balance, Work Satisfaction",Promotions,4.0,592,2.2k,77,--,Building Material | Ahmedabad +29 other locations,NA
1847,Perficient,"Job Security, Promotions",,3.7,593,4.5k,48,21,IT Services & Consulting | Chennai +11 other locations,NA
1848,Pathkind Diagnostics Private Limited,"Skill Development, Company Culture, Work Life Balance",Promotions,3.9,592,1.8k,54,14,Healthcare | New Delhi +98 other locations,NA
1849,ShareChat,Salary,"Job Security, Promotions",3.6,591,2.6k,87,10,Internet | Bengaluru +39 other locations,NA
1850,Inspira Enterprise India Limited,"Promotions, Company Culture, Work Satisfaction",,3.6,592,3.5k,51,3,IT Services & Consulting | Mumbai +35 other locations,NA
1851,IDP Education Limited,"Promotions, Job Security, Work Satisfaction",,3.6,591,2.5k,69,7,Education & Training | Chennai +50 other locations,NA
1852,Excitel Broadband,"Promotions, Job Security, Work Satisfaction",,3.6,591,2k,58,3,Telecom | New Delhi +43 other locations,NA
1853,Accion Labs,"Promotions, Job Security, Work Satisfaction",,3.5,591,4.8k,83,45,IT Services & Consulting | Bengaluru +13 other locations,NA
1854,Vadilal Industries,"Job Security, Work Life Balance, Company Culture",,4.1,590,1.7k,38,9,FMCG | Ahmedabad +84 other locations,NA
1855,HLL Lifecare,"Promotions, Salary, Job Security",,3.8,590,1.8k,45,--,Healthcare | Thiruvananthapuram +113 other locations,NA
1856,Orra Fine Jewellery,Salary,"Company Culture, Work Satisfaction, Job Security",3.5,588,1.7k,51,24,Jewellery | Mumbai +51 other locations,NA
1857,Affinity Express,"Promotions, Work Satisfaction, Company Culture",,2.8,587,2.4k,39,3,Marketing & Advertising | Pune +12 other locations,NA
1858,Cvent,"Promotions, Work Satisfaction, Salary",,3.2,587,4.8k,102,69,Software Product | Gurugram +9 other locations,NA
1859,Kellogg,"Company Culture, Work Life Balance, Job Security",Promotions,4.2,587,2.2k,31,4,FMCG | Mumbai +84 other locations,NA
1860,Saudi Aramco,"Work Life Balance, Salary, Company Culture",,4.5,587,1.4k,61,--,Oil & Gas | Mumbai +38 other locations,NA
1861,C5i,"Work Life Balance, Company Culture, Job Security",,4.2,586,2.9k,54,24,Analytics & KPO | Bengaluru +16 other locations,NA
1862,Aurionpro Solutions,"Promotions, Skill Development, Company Culture",,3.5,589,3.6k,39,16,Software Product | Mumbai +49 other locations,NA
1863,Hettich,"Promotions, Work Satisfaction, Company Culture",,3.6,586,2.4k,44,15,Furniture & Furnishing | Mumbai +45 other locations,NA
1864,Ascent HR Technologies Private Limited,"Promotions, Salary, Company Culture",,3.6,586,1.8k,46,--,Software Product | Bengaluru +15 other locations,NA
1865,NLC India Limited,"Work Life Balance, Job Security, Work Satisfaction",,4.4,586,1.2k,29,--,Metals & Mining | Neyveli +27 other locations,NA
1866,FNP,"Promotions, Job Security",,3.7,586,2.5k,72,13,Retail | New Delhi +19 other locations,NA
1867,AVTEC,"Promotions, Job Security, Salary",,3.5,585,2.1k,26,17,Auto Components | Hosur +27 other locations,NA
1868,BAXY Limited,"Work Life Balance, Work Satisfaction, Job Security",,4.1,586,2k,31,--,Auto Components | Bhiwadi +37 other locations,NA
1869,Expleo Group,"Promotions, Job Security, Salary",,3.5,585,5.7k,49,67,IT Services & Consulting | Pune +10 other locations,NA
1870,Maharashtra State Electricity Distribution Company,"Company Culture, Skill Development, Work Life Balance",Promotions,4.2,584,1.2k,24,--,Power | Pune +91 other locations,NA
1871,Jindal Poly Films,"Promotions, Job Security, Company Culture",,3.7,584,2.4k,39,--,Packaging | Nashik +18 other locations,NA
1872,Coal India,"Job Security, Salary, Work Life Balance",,3.9,584,1.9k,52,--,Metals & Mining | Kolkata +60 other locations,NA
1873,Apitoria Pharma,"Work Life Balance, Job Security, Company Culture",,4.3,584,851,39,7,Pharma | Hyderabad +12 other locations,NA
1874,Efs Facilities Services,"Promotions, Salary",,3.8,583,1.4k,37,7,Facility Management Services | New Delhi +60 other locations,NA
1875,Pamac Finserve,"Promotions, Salary, Work Life Balance",,3.2,583,1.7k,32,--,BPO | Mumbai +60 other locations,NA
1876,Gandhi Automations,"Salary, Job Security, Promotions",,4.0,582,1.3k,41,2,Industrial Machinery | Mumbai +24 other locations,NA
1877,Army Public School,"Skill Development, Salary, Work Life Balance","Job Security, Promotions",4.0,582,1.2k,42,--,Education & Training | New Delhi +97 other locations,NA
1878,Colt Technology Services,"Company Culture, Work Life Balance, Work Satisfaction",,4.2,582,3.3k,25,12,Hardware & Networking | Gurugram +13 other locations,NA
1879,HUDL,"Promotions, Skill Development, Job Security",,3.2,582,2k,62,1,Software Product | Mumbai +16 other locations,NA
1880,Alcon,"Salary, Work Life Balance",Promotions,3.8,581,2.9k,44,10,Medical Equipment | Bengaluru +38 other locations,NA
1881,Kauvery Hospital,"Company Culture, Job Security, Skill Development",Promotions,4.0,581,2.2k,37,13,Healthcare | Chennai +20 other locations,NA
1882,Dr. Reddy's Foundation,Promotions,,3.7,580,1.7k,56,33,Non-Profit | Hyderabad +88 other locations,NA
1883,PTC,"Work Life Balance, Company Culture, Job Security",,4.2,580,3.9k,69,196,Software Product | Pune +39 other locations,NA
1884,Jubilant Generics,Salary,"Promotions, Job Security",3.9,580,2.3k,20,--,Pharma | Roorkee +24 other locations,NA
1885,Hilton,"Company Culture, Job Security, Skill Development",,4.1,580,1.5k,28,265,Hospitality | Bengaluru +41 other locations,NA
1886,Capital Numbers Infotech,"Work Life Balance, Company Culture, Work Satisfaction",,4.1,580,1.2k,47,6,IT Services & Consulting | Kolkata +9 other locations,NA
