,Company,highratedfor,criticalratedfor,rating,reviews,salaries,interviews,jobs,companyCard,branches
93,IIFL Finance,"Work Life Balance, Company Culture, Job Security",,4.0,6.3k,14k,333,53,NBFC | Mumbai +810 other locations,NA
94,eClerx,"Promotions, Salary, Work Satisfaction",,3.1,6.3k,33.1k,646,404,IT Services & Consulting | Pune +32 other locations,NA
95,Indian Army,"Job Security, Company Culture, Work Life Balance",,4.7,6.2k,9.4k,212,--,Defence & Aerospace | New Delhi +360 other locations,NA
96,Piramal Finance,"Company Culture, Work Life Balance, Skill Development",,4.2,6.1k,--,301,638,NBFC | New Delhi +432 other locations,NA
97,Virtusa Consulting Services,"Promotions, Work Satisfaction, Job Security",,3.7,6.1k,57.6k,682,433,IT Services & Consulting | Hyderabad +55 other locations,NA
98,DMart,"Job Security, Company Culture",Promotions,3.9,6.1k,19.4k,561,243,Retail | Mumbai +254 other locations,NA
99,HCL Group,Job Security,"Promotions, Salary, Work Satisfaction",3.5,6.1k,39.2k,522,--,IT Services & Consulting | Chennai +96 other locations,NA
100,PolicyBazaar,Salary,Work Life Balance,3.8,6.1k,18k,641,1.2k,Internet | Gurugram +154 other locations,NA
101,HSBC Group,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",3.8,6k,44.7k,555,170,Financial Services | Bengaluru +63 other locations,NA
102,Indiamart Intermesh,"Work Satisfaction, Promotions, Company Culture",,3.5,6k,21.8k,762,146,Internet | Noida +169 other locations,NA
103,SMFG India Credit,Salary,Promotions,3.9,5.9k,11.4k,216,83,NBFC | Mumbai +603 other locations,NA
104,Access Healthcare,Job Security,Promotions,3.7,5.9k,29.3k,409,1.6k,BPO | Chennai +62 other locations,NA
105,BigBasket,Job Security,Promotions,3.9,5.8k,19.8k,498,77,Internet | Bengaluru +143 other locations,NA
106,Siemens,"Work Life Balance, Job Security, Company Culture",Promotions,3.9,5.8k,34.8k,514,589,Industrial Automation | Bengaluru +155 other locations,NA
107,Aurobindo Pharma,"Job Security, Salary, Work Life Balance",Promotions,4.0,5.8k,20.5k,295,33,Pharma | Hyderabad +115 other locations,NA
108,ICICI Lombard General Insurance Company,"Promotions, Work Satisfaction, Company Culture",,3.5,5.8k,20.3k,367,214,Insurance | Mumbai +320 other locations,NA
109,Manappuram Finance,"Work Life Balance, Promotions, Skill Development",,3.9,5.8k,9.2k,231,33,NBFC | Bengaluru +660 other locations,NA
110,GlobalLogic,"Promotions, Salary, Work Satisfaction",,3.5,5.8k,41.6k,688,68,IT Services & Consulting | Hyderabad +62 other locations,NA
111,Firstsource Solutions,"Promotions, Salary, Work Satisfaction",,3.5,5.8k,24.7k,367,112,BPO | Bengaluru +73 other locations,NA
112,Tata Capital,"Job Security, Company Culture, Work Life Balance",Promotions,3.9,5.7k,16k,286,3.5k,NBFC | Mumbai +452 other locations,NA
113,UST,Work Life Balance,"Promotions, Job Security, Salary",3.7,5.7k,40.9k,596,71,IT Services & Consulting | Bengaluru +52 other locations,NA
114,Udaan,"Salary, Skill Development","Job Security, Promotions",3.9,5.7k,15.2k,373,9,Internet | Bengaluru +366 other locations,NA
115,Shapoorji Pallonji Group,"Job Security, Company Culture, Work Life Balance",Promotions,4.1,5.7k,15.4k,436,58,Engineering & Construction | Mumbai +189 other locations,NA
116,Standard Chartered,"Promotions, Work Satisfaction, Salary",,3.6,5.7k,42.5k,327,--,Banking | Chennai +68 other locations,NA
117,Apollo Hospitals,"Job Security, Skill Development, Company Culture",Promotions,4.0,5.6k,16.9k,494,272,Healthcare | Chennai +226 other locations,NA
118,Bosch Global Software Technologies,"Work Life Balance, Company Culture, Job Security","Promotions, Salary, Work Satisfaction",3.7,5.6k,41.2k,396,19,IT Services & Consulting | Bengaluru +47 other locations,NA
119,Mahindra Finance,Work Life Balance,Promotions,3.9,5.6k,12.1k,224,116,NBFC | Mumbai +736 other locations,NA
120,Swiggy,"Job Security, Promotions, Work Satisfaction",,3.7,5.6k,24.1k,589,179,Internet | Bengaluru +238 other locations,NA
121,Ashok Leyland,"Work Life Balance, Skill Development, Company Culture",Promotions,4.0,5.6k,18.8k,328,2,Automobile | Chennai +265 other locations,NA
122,Citicorp,Salary,"Promotions, Work Satisfaction, Skill Development",3.6,5.6k,54.5k,641,--,Financial Services | Pune +68 other locations,NA
123,Hero MotoCorp,"Work Life Balance, Company Culture, Work Satisfaction",Promotions,4.1,5.4k,16.2k,420,6,Automobile | Gurugram +369 other locations,NA
124,CGI Group,"Work Life Balance, Job Security, Company Culture","Promotions, Salary",4.0,5.4k,47.1k,567,444,IT Services & Consulting | Bengaluru +43 other locations,NA
125,Piramal Capital Housing Finance,"Company Culture, Work Life Balance, Skill Development",,,--,--,--,--,NBFC | Mumbai +413 other locations,NA
126,Cyient,"Promotions, Salary, Skill Development",,3.6,5.3k,27.6k,337,123,IT Services & Consulting | Hyderabad +49 other locations,NA
127,SBI Cards & Payment Services,"Promotions, Work Satisfaction, Company Culture",,3.6,5.3k,16.3k,313,91,Financial Services | Gurugram +447 other locations,NA
128,BNY,"Promotions, Job Security, Work Satisfaction",,3.6,5.3k,32k,406,3,Financial Services | Pune +27 other locations,NA
129,NTT DATA,Work Life Balance,Promotions,3.8,5.3k,38.6k,760,10,IT Services & Consulting | Bengaluru +81 other locations,NA
130,Kalpataru Projects International,"Job Security, Skill Development, Salary",,4.2,5.2k,13.9k,341,--,Engineering & Construction | Mumbai +325 other locations,NA
131,IQVIA,"Work Life Balance, Job Security","Promotions, Salary, Work Satisfaction",3.7,5.2k,31.8k,567,32,Clinical Research | Bengaluru +67 other locations,NA
132,Nagarjuna Construction Company,"Job Security, Work Life Balance, Skill Development",Promotions,4.0,5.2k,12.6k,455,11,Engineering & Construction | Hyderabad +299 other locations,NA
133,JustDial,"Promotions, Work Satisfaction, Job Security",,3.5,5.2k,15.3k,396,44,Internet | Noida +235 other locations,NA
134,Schneider Electric,"Company Culture, Work Life Balance, Job Security",Promotions,4.1,5.1k,25.7k,467,490,Industrial Automation | Bengaluru +121 other locations,NA
135,CBRE,"Company Culture, Work Life Balance, Job Security",,4.1,5.1k,19.2k,359,164,Real Estate | Hyderabad +92 other locations,NA
136,SBI Life Insurance Company,Job Security,"Promotions, Work Life Balance, Work Satisfaction",3.7,5.1k,11.8k,317,12,Insurance | Mumbai +657 other locations,NA
137,TVS Motor,"Job Security, Skill Development, Salary",Promotions,3.9,5.1k,16.4k,417,95,Automobile | Hosur +351 other locations,NA
138,Persistent Systems,"Promotions, Job Security, Work Satisfaction",,3.6,5k,46.8k,720,300,IT Services & Consulting | Pune +42 other locations,NA
139,State Bank of India,"Job Security, Skill Development, Salary",,3.8,5k,11.7k,321,2,Banking | Mumbai +622 other locations,NA
140,Atos,Work Life Balance,"Promotions, Salary",3.8,4.9k,33.8k,413,67,IT Services & Consulting | Pune +49 other locations,NA
141,KEC International,"Job Security, Salary, Company Culture",Promotions,4.0,4.9k,13.8k,426,14,Engineering & Construction | Mumbai +317 other locations,NA
142,vivo,"Company Culture, Skill Development, Work Life Balance",Promotions,4.1,4.9k,12.9k,246,22,Consumer Electronics & Appliances | Noida +414 other locations,NA
143,ITC Infotech,"Work Life Balance, Job Security",Promotions,3.8,4.9k,30.1k,423,62,IT Services & Consulting | Bengaluru +69 other locations,NA
144,Amdocs,Company Culture,"Promotions, Job Security, Work Satisfaction",3.6,4.9k,37.8k,563,12,Software Product | Pune +24 other locations,NA
145,Ecom Express,"Work Life Balance, Company Culture, Work Satisfaction",,4.1,4.8k,9.4k,267,--,Logistics | Gurugram +778 other locations,NA
146,JBM Group,"Job Security, Skill Development",Promotions,3.9,4.8k,14.1k,358,183,Auto Components | Gurugram +118 other locations,NA
147,Varun Beverages,"Job Security, Work Life Balance, Skill Development",Promotions,4.0,4.8k,12k,356,53,Beverage | New Delhi +383 other locations,NA
148,Eviden,Work Life Balance,"Promotions, Salary, Job Security",3.6,4.8k,27.1k,316,--,IT Services & Consulting | Pune +39 other locations,NA
149,Nagarro,"Company Culture, Work Life Balance",Promotions,3.9,4.7k,33.3k,838,339,IT Services & Consulting | Gurugram +48 other locations,NA
150,Utkarsh Small Finance Bank,"Promotions, Company Culture, Work Satisfaction",,3.6,4.7k,11.7k,317,38,Banking | Varanasi +418 other locations,NA
151,Randstad,"Promotions, Job Security, Work Satisfaction",,3.7,4.7k,17k,337,12,Recruitment | Hyderabad +365 other locations,NA
152,EY Global Delivery Services ( EY GDS),Job Security,"Promotions, Work Satisfaction, Work Life Balance",3.5,4.7k,52.4k,902,5,IT Services & Consulting | Bengaluru +56 other locations,NA
153,Bosch,"Work Life Balance, Company Culture, Job Security",Promotions,4.1,4.7k,21.2k,385,--,Auto Components | Bengaluru +132 other locations,NA
154,Hewlett Packard Enterprise,"Company Culture, Work Life Balance, Work Satisfaction",Promotions,4.0,4.6k,27.6k,270,243,IT Services & Consulting | Bengaluru +104 other locations,NA
155,L&T Finance,"Salary, Job Security",Promotions,3.9,4.6k,11.7k,225,--,NBFC | Mumbai +648 other locations,NA
156,Aditya Birla Fashion and Retail,"Job Security, Skill Development, Company Culture",Promotions,4.0,4.6k,13.3k,269,59,Fashion & Textile | Bengaluru +293 other locations,NA
157,Havells,"Work Life Balance, Salary",Promotions,3.9,4.6k,15.2k,301,35,Electrical Equipment | Noida +264 other locations,NA
158,Cars24,"Job Security, Promotions, Company Culture",,3.5,4.6k,15.6k,411,67,Internet | Gurugram +172 other locations,NA
159,Mahindra Logistics,"Promotions, Salary",,3.7,4.6k,12.9k,254,66,Logistics | Mumbai +233 other locations,NA
160,Intas Pharmaceuticals,"Job Security, Salary, Work Life Balance",,4.1,4.6k,17.5k,266,41,Pharma | Ahmedabad +150 other locations,NA
161,R1 RCM,Job Security,Promotions,3.8,4.6k,22.5k,365,163,BPO | Hyderabad +49 other locations,NA
162,Home Credit Finance,"Work Life Balance, Company Culture, Skill Development",,4.0,4.5k,9.2k,152,92,NBFC | Gurugram +139 other locations,NA
163,Dell,"Work Life Balance, Company Culture","Promotions, Job Security",3.8,4.5k,29.2k,432,22,Consumer Electronics & Appliances | Bengaluru +114 other locations,NA
164,Tata AIA Life Insurance,"Job Security, Skill Development, Salary",,3.9,4.5k,14.4k,259,981,Insurance | Mumbai +451 other locations,NA
165,Hetero,"Job Security, Work Life Balance",Promotions,3.9,4.5k,15.2k,350,55,Pharma | Hyderabad +70 other locations,NA
166,Deutsche Bank,"Work Life Balance, Job Security, Company Culture",Promotions,3.8,4.5k,38k,428,476,Banking | Pune +42 other locations,NA
167,Berger Paints,"Promotions, Work Life Balance, Company Culture",,3.7,4.5k,10.7k,444,125,Chemicals | Kolkata +365 other locations,NA
168,OPPO,Skill Development,"Promotions, Job Security",3.9,4.4k,11.8k,257,10,Consumer Electronics & Appliances | Greater Noida +406 other locations,NA
169,Hyundai Motor India Limited,"Job Security, Skill Development, Salary",,4.1,4.4k,14.3k,327,3,Automobile | Chennai +292 other locations,NA
170,Lenskart,"Promotions, Company Culture, Work Life Balance",,3.3,4.4k,13.2k,472,172,Internet | New Delhi +250 other locations,NA
171,Motilal Oswal Financial Services,Skill Development,"Promotions, Work Satisfaction",3.7,4.4k,13.2k,553,49,Financial Services | Mumbai +169 other locations,NA
172,TeamLease Services,Work Life Balance,Promotions,3.9,4.4k,16.5k,255,--,Recruitment | Bengaluru +403 other locations,NA
173,VE Commercial Vehicles,"Job Security, Company Culture, Skill Development","Promotions, Salary",3.9,4.3k,14.4k,293,29,Automobile | Indore +180 other locations,NA
174,Thermax Limited,"Job Security, Company Culture, Skill Development",Promotions,4.2,4.3k,13.3k,349,48,Industrial Machinery | Pune +256 other locations,NA
175,Macleods Pharmaceuticals,Job Security,"Promotions, Company Culture",3.7,4.2k,15.7k,271,24,Pharma | Mumbai +136 other locations,NA
176,Carelon Global Solutions,"Company Culture, Work Life Balance, Job Security",Promotions,3.9,4.2k,29k,428,77,IT Services & Consulting | Bengaluru +20 other locations,NA
177,Jubilant Foods Works,"Promotions, Work Satisfaction",,3.7,4.2k,9.7k,258,326,Hospitality | Noida +267 other locations,NA
178,Aakash Educational Services,"Promotions, Work Life Balance, Job Security",,3.2,4.2k,14.2k,380,91,Education & Training | New Delhi +249 other locations,NA
179,Bajaj Auto,Promotions,,3.8,4.2k,14.7k,329,40,Automobile | Pune +324 other locations,NA
180,State Street Corporation,"Promotions, Work Satisfaction, Job Security",,3.5,4.2k,33.9k,298,11,Financial Services | Bengaluru +36 other locations,NA
181,Jindal Steel Limited,Skill Development,Promotions,3.9,4.1k,16.1k,435,82,Iron & Steel | Angul +173 other locations,NA
182,LG Electronics,Job Security,Promotions,3.8,4.1k,11.3k,262,12,Consumer Electronics & Appliances | Pune +300 other locations,NA
183,Kogta Financial India Limited,"Company Culture, Work Life Balance, Work Satisfaction",,4.7,4.1k,1.9k,252,94,NBFC | Jaipur +260 other locations,NA
184,Hindalco Industries,"Job Security, Work Life Balance, Skill Development",,4.2,4.1k,12.8k,315,23,Metals & Mining | Sambalpur +130 other locations,NA
185,Royal Enfield,"Work Life Balance, Skill Development, Company Culture",Promotions,4.2,4.1k,15.1k,206,2,Automobile | Chennai +373 other locations,NA
186,HDFC ERGO General Insurance,"Company Culture, Work Life Balance, Job Security",Promotions,4.0,4.1k,12.2k,205,67,Insurance | Mumbai +326 other locations,NA
187,DCB Bank,Work Life Balance,Promotions,3.8,4k,9.8k,234,14,Banking | Mumbai +345 other locations,NA
188,John Deere,"Company Culture, Work Life Balance, Skill Development",Promotions,4.0,4k,15.6k,269,4,Industrial Machinery | Pune +154 other locations,NA
189,RBL Bank,"Promotions, Company Culture, Work Satisfaction",,3.5,4k,18.7k,248,34,Banking | Mumbai +291 other locations,NA
190,Tata Communications,"Work Life Balance, Company Culture, Job Security","Promotions, Salary",3.9,4k,23.7k,305,163,Telecom | Pune +100 other locations,NA
191,Publicis Sapient,"Promotions, Job Security, Work Satisfaction",,3.2,4k,33k,709,192,IT Services & Consulting | Bengaluru +46 other locations,NA
192,Cummins,"Company Culture, Work Life Balance, Work Satisfaction",,4.3,4k,15.7k,292,112,Industrial Machinery | Pune +115 other locations,NA
193,Alembic Pharmaceuticals,"Salary, Work Life Balance",,3.9,3.9k,15.5k,261,66,Pharma | Vadodara +187 other locations,NA
194,Bank of America,"Job Security, Work Life Balance, Company Culture",Promotions,4.1,3.9k,29.9k,295,--,Banking | Gurugram +34 other locations,NA
195,Pidilite Industries,"Job Security, Work Life Balance, Company Culture",Promotions,4.2,3.9k,11.7k,267,22,Chemicals | Mumbai +319 other locations,NA
196,Grasim Industries,"Job Security, Skill Development, Company Culture",Promotions,4.0,3.9k,13.2k,291,10,Building Material | Bharuch +261 other locations,NA
