id,name,country,height,weight,team
19465,David Raya,Spain,183,80,Arsenal
38746,J. Timber,Netherlands,179,79,Arsenal
41577,Nuno Tavares,Portugal,183,75,Arsenal
163068,O. Rekik,Tunisia,188,86,Arsenal
169295,K. Hein,Estonia,193,86,Arsenal
283026,M. Biereth,Denmark,187,69,Arsenal
284502,James Lannin-Sweet,England,,,Arsenal
284540,Mauro Bandeira,Portugal,178 cm,,Arsenal
284571,C. Sagoe,England,,,Arsenal
309501,A. Cozier-Duberry,England,170 cm,57 kg,Arsenal
309505,R. Walters,England,186,65,Arsenal
311520,Marquinhos,Brazil,175,85,Arsenal
342243,T. Setford,England,185,76,Arsenal
396206,L. Martin,Denmark,,,Arsenal
641,O. Zinchenko,Ukraine,175,64,Arsenal
643,Gabriel Jesus,Brazil,175,73,Arsenal
727,R. Nelson,England,175,71,Arsenal
978,K. Havertz,Germany,193,83,Arsenal
1427,A. Sambi Lokonga,Belgium,183,67,Arsenal
1460,B. Saka,England,178,72,Arsenal
1946,L. Trossard,Belgium,172,61,Arsenal
2937,D. Rice,England,188,84,Arsenal
19959,B. White,England,186,76,Arsenal
22090,W. Saliba,France,192,92,Arsenal
22224,Gabriel Magalhães,Brazil,190,78,Arsenal
37127,M. Ødegaard,Norway,178,68,Arsenal
41725,Fábio Vieira,Portugal,170,58,Arsenal
47311,Mikel Merino,Spain,189,83,Arsenal
61431,J. Kiwior,Poland,189,75,Arsenal
157052,R. Calafiori,Italy,188,86,Arsenal
313236,E. Nwaneri,England,176,70,Arsenal
313245,M. Lewis-Skelly,England,178,72,Arsenal
380697,M. Kacurri,Albania,183,84,Arsenal
407033,Ismeal Kabia,Netherlands,175,70,Arsenal
49,T. Partey,Ghana,185,77,Arsenal
645,R. Sterling,England,172 cm,69 kg,Arsenal
1117,K. Tierney,Scotland,178,70,Arsenal
2289,Jorginho,Italy,180 cm,65 kg,Arsenal
2597,T. Tomiyasu,Japan,187,84,Arsenal
20355,A. Ramsdale,England,190,88,Arsenal
127769,Gabriel Martinelli,Brazil,178,75,Arsenal
153407,N. Butler-Oyedeji,England,171,69,Arsenal
278074,S. Oulad M&apos;Hand,Netherlands,177 cm,70 kg,Arsenal
284463,Jack Henry-Francis,Republic of Ireland,181,,Arsenal
284557,Z. Monlouis,England,185,75,Arsenal
309506,J. Robinson,England,180,67,Arsenal
313229,J. Gower,England,181,74,Arsenal
337933,Alexei Rojas Fedorushchenko,Colombia,187,77,Arsenal
339175,M. Rosiak,Poland,180,,Arsenal
348818,B. Clarke,Wales,,,Arsenal
380696,Joshua Nichols,England,165,56,Arsenal
416697,J. Porter,England,187,75,Arsenal
83,A. Danjuma,Netherlands,178,74,Everton
172,D. Alli,England,188,76,Everton
